,Provedor,Estado,Longitude,Latitude
31460,TIM,PA,-2.5553111111111,-54.721969444444
31486,Vivo,PA,-0.71083,-47.69611
31498,Vivo,PA,-1.30444,-48.04278
31511,TIM,PA,-6.11525,-50.2888
31514,TIM,PA,-6.0332388888889,-50.5812
31516,Vivo,PA,-0.86997,-52.60472
31520,TIM,PA,-1.4708305555556,-56.3792
31522,Vivo,PA,-5.37258,-49.12937
31523,Vivo,PA,-6.08389,-49.90583
31555,Claro,PA,-3.19444,-52.22028
31558,Claro,PA,-0.7361,-47.85273
31562,Claro,PA,-6.10608,-49.35272
31566,Claro,PA,-4.26659,-55.99254
31567,Claro,PA,-2.00111,-54.0725
31586,TIM,PA,-8.2650555555556,-49.265333333333
31589,TIM,PA,-0.86694444444444,-52.541111111111
31592,TIM,PA,-0.92138888888889,-52.441388888889
31601,Claro,PA,-0.90667,-47.24056
31602,Claro,PA,-1.15215,-48.13093
31603,Claro,PA,-6.08611,-49.8875
31687,Claro,PA,-6.06614,-49.8951
31701,Claro,PA,-3.8488888888889,-49.096941666667
31702,Claro,PA,-1.89211,-48.7637
31703,Claro,PA,-7.0375,-55.4166666666667
31704,Claro,PA,-8.05505,-50.0414
31707,Claro,PA,-7.31541,-50.04529
31709,Claro,PA,-2.93,-48.94917
31710,Claro,PA,-3.74722,-47.4969
31711,Claro,PA,-7.08968,-49.93632
31763,Claro,PA,-4.24696,-56.0273
31764,Claro,PA,-0.76917,-47.17333
31768,Claro,PA,-1.527528,-52.582194
31769,Claro,PA,-1.52369,-52.57208
31770,Claro,PA,-2.4327777777778,-54.73194
31814,TIM,PA,-1.286667,-47.929167
31840,Claro,PA,-6.74529,-51.15646
31842,Claro,PA,-1.98131,-48.96489
31844,Claro,PA,-1.19611,-47.18305
32101,Claro,PA,-1.4039194444444,-48.4308
32102,Claro,PA,-1.4580388888889,-48.495
32329,TIM,PA,-3.78028,-49.675417
32444,Claro,PA,-2.4434694444444,-54.7048
32451,Claro,PA,-2.24582,-49.500319444444
32452,Claro,PA,-2.5822611111111,-49.502030555556
32454,Claro,PA,-2.465,-48.74472
32457,Claro,PA,-0.63743,-47.33325
